4,273
customerNumber int	checkNumber string	paymentDate string	amount string
259	GB361972	7-12-2003 0:00:00	27988.47
260	IO164641	30-8-2004 0:00:00	37527.58
260	NH776924	24-4-2004 0:00:00	29284.42
276	EM979878	9-2-2005 0:00:00	27083.78
276	KM841847	13-11-2003 0:00:00	38547.19
276	LE432182	28-9-2003 0:00:00	41554.73
276	OJ819725	30-4-2005 0:00:00	29848.52
278	BJ483870	5-12-2004 0:00:00	37654.09
278	GP636783	2-3-2003 0:00:00	52151.81
278	NI983021	24-11-2003 0:00:00	37723.79
282	IA793562	3-8-2003 0:00:00	24013.52
282	JT819493	2-8-2004 0:00:00	35806.73
282	OD327378	3-1-2005 0:00:00	31835.36
286	DR578578	28-10-2004 0:00:00	47411.33
286	KH910279	5-9-2004 0:00:00	43134.04
298	AJ574927	13-3-2004 0:00:00	47375.92
298	LF501133	18-9-2004 0:00:00	61402.00
299	AD304085	24-10-2003 0:00:00	36798.88
299	NR157385	5-9-2004 0:00:00	32260.16
311	DG336041	15-2-2005 0:00:00	46770.52
311	FA728475	6-10-2003 0:00:00	32723.04
311	NQ966143	25-4-2004 0:00:00	16212.59
314	LQ244073	9-8-2004 0:00:00	45352.47
314	MD809704	3-3-2004 0:00:00	16901.38
319	HL685576	6-11-2004 0:00:00	42339.76
319	OM548174	7-12-2003 0:00:00	36092.40
320	GJ597719	18-1-2005 0:00:00	8307.28
320	HO576374	20-8-2003 0:00:00	41016.75
320	MU817160	24-11-2003 0:00:00	52548.49
321	DJ15149	3-11-2003 0:00:00	85559.12
321	LA556321	15-3-2005 0:00:00	46781.66
323	AL493079	23-5-2005 0:00:00	75020.13
323	ES347491	24-6-2004 0:00:00	37281.36
323	HG738664	5-7-2003 0:00:00	2880.00
323	PQ803830	24-12-2004 0:00:00	39440.59
324	DQ409197	13-12-2004 0:00:00	13671.82
324	FP443161	7-7-2003 0:00:00	29429.14
324	HB150714	23-11-2003 0:00:00	37455.77
328	EN930356	16-4-2004 0:00:00	7178.66
328	NR631421	30-5-2004 0:00:00	31102.85
333	HL209210	15-11-2003 0:00:00	23936.53
333	JK479662	17-10-2003 0:00:00	9821.32
333	NF959653	1-3-2005 0:00:00	21432.31
334	CS435306	27-1-2005 0:00:00	45785.34
334	HH517378	16-8-2003 0:00:00	29716.86
334	LF737277	22-5-2004 0:00:00	28394.54
339	AP286625	24-10-2004 0:00:00	23333.06
339	DA98827	28-11-2003 0:00:00	34606.28
344	AF246722	24-11-2003 0:00:00	31428.21
344	NJ906924	2-4-2004 0:00:00	15322.93
347	DG700707	18-1-2004 0:00:00	21053.69
347	LG808674	24-10-2003 0:00:00	20452.50
350	BQ602907	11-12-2004 0:00:00	18888.31
350	CI471510	25-5-2003 0:00:00	50824.66
350	OB648482	29-1-2005 0:00:00	1834.56
353	CO351193	10-1-2005 0:00:00	49705.52
353	ED878227	21-7-2003 0:00:00	13920.26
353	GT878649	21-5-2003 0:00:00	16700.47
353	HJ618252	9-6-2005 0:00:00	46656.94
357	AG240323	16-12-2003 0:00:00	20220.04
357	NB291497	15-5-2004 0:00:00	36442.34
362	FP170292	11-7-2004 0:00:00	18473.71
362	OG208861	21-9-2004 0:00:00	15059.76
363	HL575273	17-11-2004 0:00:00	50799.69
363	IS232033	16-1-2003 0:00:00	10223.83
363	PN238558	5-12-2003 0:00:00	55425.77
379	CA762595	12-2-2005 0:00:00	28322.83
379	FR499138	16-9-2003 0:00:00	32680.31
379	GB890854	2-8-2004 0:00:00	12530.51
381	BC726082	3-12-2004 0:00:00	12081.52
381	CC475233	19-4-2003 0:00:00	1627.56
381	GB117430	3-2-2005 0:00:00	14379.90
381	MS154481	22-8-2003 0:00:00	1128.20
382	CC871084	12-5-2003 0:00:00	35826.33
382	CT821147	1-8-2004 0:00:00	6419.84
382	PH29054	27-11-2004 0:00:00	42813.83
385	BN347084	2-12-2003 0:00:00	20644.24
385	CP804873	19-11-2004 0:00:00	15822.84
385	EK785462	9-3-2003 0:00:00	51001.22
386	DO106109	18-11-2003 0:00:00	38524.29
386	HG438769	18-7-2004 0:00:00	51619.02
398	AJ478695	14-2-2005 0:00:00	33967.73
398	DO787644	21-6-2004 0:00:00	22037.91
398	JPMR4544	18-5-2005 0:00:00	615.45
398	KB54275	29-11-2004 0:00:00	48927.64
406	BJMPR4545	23-4-2005 0:00:00	12190.85
406	HJ217687	28-1-2004 0:00:00	49165.16
406	NA197101	17-6-2004 0:00:00	25080.96
412	GH197075	25-7-2004 0:00:00	35034.57
412	PJ434867	14-4-2004 0:00:00	31670.37
415	ER54537	28-9-2004 0:00:00	31310.09
424	KF480160	7-12-2004 0:00:00	25505.98
424	LM271923	16-4-2003 0:00:00	21665.98
424	OA595449	31-10-2003 0:00:00	22042.37
447	AO757239	15-9-2003 0:00:00	6631.36
447	ER615123	25-6-2003 0:00:00	17032.29
447	OU516561	17-12-2004 0:00:00	26304.13
448	FS299615	18-4-2005 0:00:00	27966.54
448	KR822727	30-9-2004 0:00:00	48809.90
450	EF485824	21-6-2004 0:00:00	59551.38
452	ED473873	15-11-2003 0:00:00	27121.90
452	FN640986	20-11-2003 0:00:00	15130.97
452	HG635467	3-5-2005 0:00:00	8807.12
455	HA777606	5-12-2003 0:00:00	38139.18
455	IR662429	12-5-2004 0:00:00	32239.47
456	GJ715659	13-11-2004 0:00:00	27550.51
456	MO743231	30-4-2004 0:00:00	1679.92
458	DD995006	15-11-2004 0:00:00	33145.56
458	NA377824	6-2-2004 0:00:00	22162.61
458	OO606861	13-6-2003 0:00:00	57131.92
462	ED203908	15-4-2005 0:00:00	30293.77
462	GC60330	8-11-2003 0:00:00	9977.85
462	PE176846	27-11-2004 0:00:00	48355.87
471	AB661578	28-7-2004 0:00:00	9415.13
471	CO645196	10-12-2003 0:00:00	35505.63
473	LL427009	17-2-2004 0:00:00	7612.06
473	PC688499	27-10-2003 0:00:00	17746.26
475	JP113227	9-12-2003 0:00:00	7678.25
475	PB951268	13-2-2004 0:00:00	36070.47
484	GK294076	26-10-2004 0:00:00	3474.66
484	JH546765	29-11-2003 0:00:00	47513.19
486	BL66528	14-4-2004 0:00:00	5899.38
486	HS86661	23-11-2004 0:00:00	45994.07
486	JB117768	20-3-2003 0:00:00	25833.14
487	AH612904	28-9-2003 0:00:00	29997.09
487	PT550181	29-2-2004 0:00:00	12573.28
489	OC773849	4-12-2003 0:00:00	22275.73
489	PO860906	31-1-2004 0:00:00	7310.42
495	BH167026	26-12-2003 0:00:00	59265.14
495	FN155234	14-5-2004 0:00:00	6276.60
496	EU531600	25-5-2005 0:00:00	30253.75
496	MB342426	16-7-2003 0:00:00	32077.44
496	MN89921	31-12-2004 0:00:00	52166.00^
